8	2	4
26	2	3
56	1	3
59	2	3
73	2	3
112	1	4
124	2	3
144	1	4
209	2	4
217	2	5
220	1	4
234	1	3
243	2	3
273	2	4
298	1	4
360	1	4
576	1	3
681	1	3
702	1	3
725	1	4
814	2	1
839	2	1
908	1	5
924	2	5
1027	1	3
1152	2	3
1156	1	4
1182	1	4
1211	1	3
1280	1	1
1386	2	5
1419	1	1
1492	2	3
1518	1	4
1570	1	4
1595	1	5
1605	2	4
1743	1	4
1774	2	5
1777	2	3
1790	1	3
1808	2	4
1844	2	3
1919	2	1
1996	1	3
2050	1	4
2349	1	4
2420	1	3
2455	2	5
2480	1	3
2513	1	3
2645	2	4
2676	1	3
2742	1	3
3214	1	5
3358	1	4
3421	2	4
3540	1	3
3899	1	2
4057	1	4
4292	1	3
4583	1	1
4614	1	4
4808	1	3
4888	1	3
5106	1	4
5206	1	4
5243	2	4
5283	2	4
5290	1	3
5395	2	2
5714	1	5
5766	2	2
5927	1	3
6014	1	3
6284	1	3
6467	1	5
6479	2	4
6656	1	3
7073	2	3
7126	2	4
7191	1	4
7321	1	4
7399	1	5
7418	1	1
7477	2	5
7507	1	6
7639	2	4
7663	2	4
7727	1	4
7749	2	4
7879	2	3
8023	1	2
8047	2	3
8051	1	3
8256	1	3
8257	2	4
8426	2	4
8488	1	4
8578	1	4
8702	1	4
8779	2	3
9148	2	4
9222	1	3
9245	1	4
9289	2	4
9595	1	3
9613	1	5
9667	1	4
9692	2	3
9720	2	3
9860	1	3
9901	2	3
10123	2	4
10447	1	2
10545	1	1
10695	2	1
10746	1	3
10749	1	4
10786	2	2
10808	2	5
10960	1	4
11226	1	4
11367	1	3
11481	1	6
11560	1	4
11698	1	3
12317	1	3
12431	1	5
12462	1	6
12472	2	3
12553	2	3
12748	1	6
13542	1	3
14046	1	5
14496	2	4
14586	2	5
15200	2	3
15285	2	3
15575	1	3
15600	2	5
15847	2	6
16286	2	3
16287	1	5
16594	1	3
16767	1	3
17574	1	5
17614	2	1
17744	2	4
18772	1	2
19541	2	4
19706	2	4
19752	1	1
20334	2	3
20747	2	5
20838	1	3
20946	1	3
21026	2	5
21354	1	3
21509	1	3
22126	2	4
22487	1	4
22585	1	3
22684	1	4
23517	1	2
23617	1	4
23768	2	3
23930	2	6
23972	2	3
24195	1	2
24291	2	3
24530	2	5
24706	1	4
24882	2	3
25321	2	4
25437	1	4
25526	1	4
25609	1	5
25682	1	4
25901	2	3
26240	1	5
26570	1	5
26629	1	4
26745	2	3
26866	0	1
27700	2	3
28671	2	3
29023	2	1
29098	1	4
29574	2	4
29879	1	3
30274	1	3
30312	1	2
30384	1	4
30892	1	4
30978	2	3
31012	1	3
31292	2	3
31723	2	3
31748	2	2
31833	2	4
32003	1	3
32416	1	4
32935	2	3
32949	2	2
33038	1	3
33827	1	3
33926	2	2
34213	2	6
34488	2	5
