0	1	1553674514668982680	20083853	23780	1	1	7128	2385	114	154	23459935
0	1	8384279181560047065	21954021	12274	2	2	27030	5032	52738	25050	176816
0	1	2484495578050454714	21104688	33314	1	1	7482432	3143	2679	9351	0
0	1	13756257544627676222	10959062	24354	1	1	23	48	748	1087	17076662
0	1	12057878999086460853	20192676	27961	1	1	964631	16754	22196	25381	1967930
0	1	4298118681424644510	7826552	385	1	1	156213	414537	938762	48	18493854
0	1	359520612360867750	21261580	36371	3	3	87	2793	6535	6737	4777009
0	1	15785112999276740221	20908196	35088	2	2	0	0	2	5	10716068
0	1	4969291200346086563	1693453	3383	2	1	9121913	43939	47779	60289	0
0	1	9331859261151987688	21272597	36385	1	1	5910	13900	3850	529	477300
0	1	18425200088803071639	20033132	23790	1	1	246	845	27	29	8415688
0	1	9881207773436751085	4332980	23778	2	1	2226	23	13	21	14147126
0	1	2137528403495600820	20218301	23801	3	3	7923	3	48	58	4339271
0	3	6912851286990253226	20364204	18918	2	1	42236	150743	454005	369893	7109083
0	1	2412771796110463309	20067154	23781	1	1	781	412	1029	1	18451825
0	1	14347859242938208407	21963774	33931	1	1	17185672	23801	45806	42095	5920950
0	1	13090221289647714786	20174982	23795	1	1	11406560	4342	3	7	22634906
0	1	15055522776556423814	20967451	35253	2	1	407174	933	13441	277	74037
1	2	7903914528320191889	21162418	1325	1	1	3143468	9851	19249	19446	13123189
0	1	5345544339361683517	5858719	23796	1	1	11997942	179	6	12	848000
0	1	4128633349142478420	20975189	35306	2	1	12	218	490	639	9175925
0	1	8190646704100694045	3048032	23782	1	1	997	3079	1966	2825	14954540
0	1	7540531384787564891	21183954	27138	2	2	57	8	21023	30534	14064130
0	1	3733067775926997743	22169173	38636	3	3	3335085	14900	176225	149788	0
0	1	5851252814446935968	10421264	28698	2	2	14820845	160515	693871	8974	0
0	1	8848021695083076346	20047086	2387	2	2	304	931	205	194	787528
0	1	17363854844105063905	20017061	23798	1	1	1652	706	519	673	1470861
0	1	16098389876816742567	20891790	34612	2	1	10468534	51156	511467	415222	71339
1	1	5103335732153791879	10405659	29900	1	1	1208	42	23	26	1445511
